Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
20-Aug-94,Arsenal,Man City,3,0,H
20-Aug-94,Chelsea,Norwich,2,0,H
20-Aug-94,Coventry,Wimbledon,1,1,D
20-Aug-94,Crystal Palace,Liverpool,1,6,A
20-Aug-94,Everton,Aston Villa,2,2,D
20-Aug-94,Ipswich,Nott'm Forest,0,1,A
20-Aug-94,Man United,QPR,2,0,H
20-Aug-94,Sheffield Weds,Tottenham,3,4,A
20-Aug-94,Southampton,Blackburn,1,1,D
20-Aug-94,West Ham,Leeds,0,0,D
21-Aug-94,Leicester,Newcastle,1,3,A
22-Aug-94,Nott'm Forest,Man United,1,1,D
23-Aug-94,Blackburn,Leicester,3,0,H
23-Aug-94,Leeds,Arsenal,1,0,H
23-Aug-94,Wimbledon,Ipswich,1,1,D
24-Aug-94,Aston Villa,Southampton,1,1,D
24-Aug-94,Man City,West Ham,3,0,H
24-Aug-94,Newcastle,Coventry,4,0,H
24-Aug-94,Norwich,Crystal Palace,0,0,D
24-Aug-94,QPR,Sheffield Weds,3,2,H
24-Aug-94,Tottenham,Everton,2,1,H
27-Aug-94,Aston Villa,Crystal Palace,1,1,D
27-Aug-94,Blackburn,Coventry,4,0,H
27-Aug-94,Leeds,Chelsea,2,3,A
27-Aug-94,Man City,Everton,4,0,H
27-Aug-94,Newcastle,Southampton,5,1,H
27-Aug-94,Norwich,West Ham,1,0,H
27-Aug-94,Nott'm Forest,Leicester,1,0,H
27-Aug-94,QPR,Ipswich,1,2,A
27-Aug-94,Tottenham,Man United,0,1,A
27-Aug-94,Wimbledon,Sheffield Weds,0,1,A
28-Aug-94,Liverpool,Arsenal,3,0,H
29-Aug-94,Coventry,Aston Villa,0,1,A
30-Aug-94,Crystal Palace,Leeds,1,2,A
30-Aug-94,Everton,Nott'm Forest,1,2,A
30-Aug-94,Ipswich,Tottenham,1,3,A
31-Aug-94,Arsenal,Blackburn,0,0,D
31-Aug-94,Chelsea,Man City,3,0,H
31-Aug-94,Leicester,QPR,1,1,D
31-Aug-94,Man United,Wimbledon,3,0,H
31-Aug-94,Sheffield Weds,Norwich,0,0,D
31-Aug-94,Southampton,Liverpool,0,2,A
31-Aug-94,West Ham,Newcastle,1,3,A
10-Sep-94,Aston Villa,Ipswich,2,0,H
10-Sep-94,Blackburn,Everton,3,0,H
10-Sep-94,Liverpool,West Ham,0,0,D
10-Sep-94,Man City,Crystal Palace,1,1,D
10-Sep-94,Newcastle,Chelsea,4,2,H
10-Sep-94,Norwich,Arsenal,0,0,D
10-Sep-94,Nott'm Forest,Sheffield Weds,4,1,H
10-Sep-94,QPR,Coventry,2,2,D
10-Sep-94,Wimbledon,Leicester,2,1,H
11-Sep-94,Leeds,Man United,2,1,H
12-Sep-94,Tottenham,Southampton,1,2,A
17-Sep-94,Coventry,Leeds,2,1,H
17-Sep-94,Crystal Palace,Wimbledon,0,0,D
17-Sep-94,Everton,QPR,2,2,D
17-Sep-94,Leicester,Tottenham,3,1,H
17-Sep-94,Man United,Liverpool,2,0,H
17-Sep-94,Sheffield Weds,Man City,1,1,D
17-Sep-94,Southampton,Nott'm Forest,1,1,D
17-Sep-94,West Ham,Aston Villa,1,0,H
18-Sep-94,Arsenal,Newcastle,2,3,A
18-Sep-94,Chelsea,Blackburn,1,2,A
19-Sep-94,Ipswich,Norwich,1,2,A
24-Sep-94,Blackburn,Aston Villa,3,1,H
24-Sep-94,Coventry,Southampton,1,3,A
24-Sep-94,Crystal Palace,Chelsea,0,1,A
24-Sep-94,Everton,Leicester,1,1,D
24-Sep-94,Ipswich,Man United,3,2,H
24-Sep-94,Man City,Norwich,2,0,H
24-Sep-94,Newcastle,Liverpool,1,1,D
24-Sep-94,QPR,Wimbledon,0,1,A
24-Sep-94,Tottenham,Nott'm Forest,1,4,A
25-Sep-94,West Ham,Arsenal,0,2,A
26-Sep-94,Sheffield Weds,Leeds,1,1,D
01-Oct-94,Arsenal,Crystal Palace,1,2,A
01-Oct-94,Aston Villa,Newcastle,0,2,A
01-Oct-94,Leeds,Man City,2,0,H
01-Oct-94,Liverpool,Sheffield Weds,4,1,H
01-Oct-94,Man United,Everton,2,0,H
01-Oct-94,Norwich,Blackburn,2,1,H
01-Oct-94,Southampton,Ipswich,3,1,H
01-Oct-94,Wimbledon,Tottenham,1,2,A
02-Oct-94,Chelsea,West Ham,1,2,A
02-Oct-94,Nott'm Forest,QPR,3,2,H
03-Oct-94,Leicester,Coventry,2,2,D
08-Oct-94,Chelsea,Leicester,4,0,H
08-Oct-94,Liverpool,Aston Villa,3,2,H
08-Oct-94,Man City,Nott'm Forest,3,3,D
08-Oct-94,Norwich,Leeds,2,1,H
08-Oct-94,Sheffield Weds,Man United,1,0,H
08-Oct-94,Southampton,Everton,2,0,H
08-Oct-94,Tottenham,QPR,1,1,D
08-Oct-94,West Ham,Crystal Palace,1,0,H
08-Oct-94,Wimbledon,Arsenal,1,3,A
09-Oct-94,Newcastle,Blackburn,1,1,D
10-Oct-94,Coventry,Ipswich,2,0,H
15-Oct-94,Arsenal,Chelsea,3,1,H
15-Oct-94,Aston Villa,Norwich,1,1,D
15-Oct-94,Blackburn,Liverpool,3,2,H
15-Oct-94,Crystal Palace,Newcastle,0,1,A
15-Oct-94,Everton,Coventry,0,2,A
15-Oct-94,Leeds,Tottenham,1,1,D
15-Oct-94,Leicester,Southampton,4,3,H
15-Oct-94,Man United,West Ham,1,0,H
15-Oct-94,QPR,Man City,1,2,A
16-Oct-94,Ipswich,Sheffield Weds,1,2,A
17-Oct-94,Nott'm Forest,Wimbledon,3,1,H
22-Oct-94,Aston Villa,Nott'm Forest,0,2,A
22-Oct-94,Crystal Palace,Everton,1,0,H
22-Oct-94,Liverpool,Wimbledon,3,0,H
22-Oct-94,Man City,Tottenham,5,2,H
22-Oct-94,Newcastle,Sheffield Weds,2,1,H
22-Oct-94,Norwich,QPR,4,2,H
22-Oct-94,West Ham,Southampton,2,0,H
23-Oct-94,Arsenal,Coventry,2,1,H
23-Oct-94,Blackburn,Man United,2,4,A
23-Oct-94,Chelsea,Ipswich,2,0,H
24-Oct-94,Leeds,Leicester,2,1,H
