Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
19-Aug-95,Aston Villa,Man United,3,1,H,3,0,H
19-Aug-95,Blackburn,QPR,1,0,H,1,0,H
19-Aug-95,Chelsea,Everton,0,0,D,0,0,D
19-Aug-95,Liverpool,Sheffield Weds,1,0,H,0,0,D
19-Aug-95,Man City,Tottenham,1,1,D,0,1,A
19-Aug-95,Newcastle,Coventry,3,0,H,1,0,H
19-Aug-95,Southampton,Nott'm Forest,3,4,A,1,3,A
19-Aug-95,West Ham,Leeds,1,2,A,1,0,H
19-Aug-95,Wimbledon,Bolton,3,2,H,2,2,D
20-Aug-95,Arsenal,Middlesbrough,1,1,D,1,1,D
21-Aug-95,Leeds,Liverpool,1,0,H,0,0,D
22-Aug-95,Bolton,Newcastle,1,3,A,0,1,A
23-Aug-95,Coventry,Man City,2,1,H,1,0,H
23-Aug-95,Everton,Arsenal,0,2,A,0,0,D
23-Aug-95,Man United,West Ham,2,1,H,0,0,D
23-Aug-95,Nott'm Forest,Chelsea,0,0,D,0,0,D
23-Aug-95,QPR,Wimbledon,0,3,A,0,1,A
23-Aug-95,Sheffield Weds,Blackburn,2,1,H,1,0,H
23-Aug-95,Tottenham,Aston Villa,0,1,A,0,0,D
26-Aug-95,Bolton,Blackburn,2,1,H,1,0,H
26-Aug-95,Coventry,Arsenal,0,0,D,0,0,D
26-Aug-95,Everton,Southampton,2,0,H,2,0,H
26-Aug-95,Leeds,Aston Villa,2,0,H,1,0,H
26-Aug-95,Man United,Wimbledon,3,1,H,1,0,H
26-Aug-95,Middlesbrough,Chelsea,2,0,H,1,0,H
26-Aug-95,Nott'm Forest,West Ham,1,1,D,1,1,D
26-Aug-95,QPR,Man City,1,0,H,1,0,H
26-Aug-95,Tottenham,Liverpool,1,3,A,0,2,A
27-Aug-95,Sheffield Weds,Newcastle,0,2,A,0,0,D
28-Aug-95,Blackburn,Man United,1,2,A,0,0,D
29-Aug-95,Arsenal,Nott'm Forest,1,1,D,1,0,H
30-Aug-95,Aston Villa,Bolton,1,0,H,0,0,D
30-Aug-95,Chelsea,Coventry,2,2,D,2,1,H
30-Aug-95,Liverpool,QPR,1,0,H,1,0,H
30-Aug-95,Man City,Everton,0,2,A,0,0,D
30-Aug-95,Newcastle,Middlesbrough,1,0,H,0,0,D
30-Aug-95,Southampton,Leeds,1,1,D,0,0,D
30-Aug-95,West Ham,Tottenham,1,1,D,1,0,H
30-Aug-95,Wimbledon,Sheffield Weds,2,2,D,1,1,D
09-Sep-95,Blackburn,Aston Villa,1,1,D,0,1,A
09-Sep-95,Bolton,Middlesbrough,1,1,D,1,0,H
09-Sep-95,Coventry,Nott'm Forest,1,1,D,1,1,D
09-Sep-95,Everton,Man United,2,3,A,1,1,D
09-Sep-95,QPR,Sheffield Weds,0,3,A,0,0,D
09-Sep-95,Southampton,Newcastle,1,0,H,0,0,D
09-Sep-95,Tottenham,Leeds,2,1,H,1,0,H
09-Sep-95,Wimbledon,Liverpool,1,0,H,1,0,H
10-Sep-95,Man City,Arsenal,0,1,A,0,0,D
11-Sep-95,West Ham,Chelsea,1,3,A,0,2,A
12-Sep-95,Middlesbrough,Southampton,0,0,D,0,0,D
16-Sep-95,Arsenal,West Ham,1,0,H,0,0,D
16-Sep-95,Aston Villa,Wimbledon,2,0,H,1,0,H
16-Sep-95,Chelsea,Southampton,3,0,H,0,0,D
16-Sep-95,Leeds,QPR,1,3,A,0,2,A
16-Sep-95,Liverpool,Blackburn,3,0,H,3,0,H
16-Sep-95,Man United,Bolton,3,0,H,2,0,H
16-Sep-95,Middlesbrough,Coventry,2,1,H,0,0,D
16-Sep-95,Newcastle,Man City,3,1,H,2,0,H
16-Sep-95,Sheffield Weds,Tottenham,1,3,A,1,1,D
17-Sep-95,Nott'm Forest,Everton,3,2,H,2,0,H
23-Sep-95,Arsenal,Southampton,4,2,H,2,2,D
23-Sep-95,Aston Villa,Nott'm Forest,1,1,D,0,0,D
23-Sep-95,Blackburn,Coventry,5,1,H,2,1,H
23-Sep-95,Liverpool,Bolton,5,2,H,2,0,H
23-Sep-95,Man City,Middlesbrough,0,1,A,0,1,A
23-Sep-95,Sheffield Weds,Man United,0,0,D,0,0,D
23-Sep-95,West Ham,Everton,2,1,H,2,1,H
23-Sep-95,Wimbledon,Leeds,2,4,A,1,3,A
24-Sep-95,Newcastle,Chelsea,2,0,H,1,0,H
25-Sep-95,QPR,Tottenham,2,3,A,1,0,H
30-Sep-95,Bolton,QPR,0,1,A,0,0,D
30-Sep-95,Chelsea,Arsenal,1,0,H,0,0,D
30-Sep-95,Coventry,Aston Villa,0,3,A,0,1,A
30-Sep-95,Leeds,Sheffield Weds,2,0,H,1,0,H
30-Sep-95,Middlesbrough,Blackburn,2,0,H,1,0,H
30-Sep-95,Nott'm Forest,Man City,3,0,H,1,0,H
30-Sep-95,Tottenham,Wimbledon,3,1,H,2,1,H
01-Oct-95,Everton,Newcastle,1,3,A,0,1,A
01-Oct-95,Man United,Liverpool,2,2,D,1,1,D
02-Oct-95,Southampton,West Ham,0,0,D,0,0,D
14-Oct-95,Aston Villa,Chelsea,0,1,A,0,0,D
14-Oct-95,Blackburn,Southampton,2,1,H,1,0,H
